GEO_LON,GEO_LAT,MONTH,WEEKDAY,TIME,ROAD_CONDITION,LIGHT_CONDITION,HUMAN_FACTOR,TU1_DRIVER_ACTION,ROAD_DESCRIPTION,BICYCLE_IND,PEDESTRIAN_IND,INJURY_YN
-105.00929407299999,39.7718655714,6,4,21,DRY,DARK-LIGHTED,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-105.052075982,39.7403560419,12,1,16,DRY,DARK-LIGHTED,OTHER,RECKLESS DRIVING,DRIVEWAY ACCESS RELATED,0.0,1.0,1
-105.004333733,39.760948943,5,5,6,DRY,DAWN OR DUSK,ASLEEP AT THE WHEEL,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-105.013966071,39.7404354071,5,4,9,DRY,DAY LIGHT,AGGRESSIVE DRIVING,FAILED TO STOP AT SIGNAL,NON INTERSECTION,0.0,0.0,1
-105.05311401,39.6533449765,5,2,18,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.025061441,39.6967456147,9,1,8,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.97684481299999,39.7557347931,12,0,10,SLUSHY WITH VISIBLE ICY ROAD TREATMENT,DAY LIGHT,DRIVER UNFAMILIAR WITH AREA,LANE VIOLATION,INTERSECTION RELATED,0.0,0.0,1
-104.90354612,39.6985338342,6,0,0,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.991694383,39.752288682199996,9,3,19,DRY,DAWN OR DUSK,OTHER,UNKOWN_DRIVER_ACTION,AT INTERSECTION,0.0,2.0,1
-104.865889005,39.775633296399995,3,6,15,DRY,DAY LIGHT,OTHER,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-105.006236088,39.6857829146,6,5,23,DRY,DARK-LIGHTED,OTHER,CARELESS DRIVING,PARKING LOT,0.0,0.0,1
-105.007077744,39.7258183835,5,3,11,DRY,DAY LIGHT,OTHER,FOLLOWED TOO CLOSELY,NON INTERSECTION,0.0,0.0,1
-104.973338801,39.7679190379,5,3,11,DRY,DAY LIGHT,DRIVER UNFAMILIAR WITH AREA,FAILED TO YIELD ROW,AT INTERSECTION,1.0,0.0,1
-104.866424072,39.6569947001,12,2,20,DRY,DARK-LIGHTED,DRIVER UNFAMILIAR WITH AREA,FOLLOWED TOO CLOSELY,AT INTERSECTION,0.0,0.0,1
-105.013229294,39.725676534499996,10,4,0,WET,DARK-LIGHTED,ASLEEP AT THE WHEEL,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.00142431,39.7464115313,3,3,21,DRY,DARK-LIGHTED,DRIVER UNFAMILIAR WITH AREA,FAILED TO STOP AT SIGNAL,AT INTERSECTION,0.0,0.0,1
-104.906738123,39.6341412255,3,1,13,DRY,DAY LIGHT,ILLNESS/MEDICAL,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-104.98955709100001,39.7801079336,10,4,6,DRY,DAWN OR DUSK,OTHER,FOLLOWED TOO CLOSELY,HIGHWAY INTERCHANGE,0.0,0.0,1
-104.908618784,39.686996128400004,7,4,4,DRY,DAY LIGHT,DUI/DWAI/DUID,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.98751534200001,39.6875723712,12,3,10,DRY,DAY LIGHT,AGGRESSIVE DRIVING,EXCEED SAFE/POSTED SPEED,AT INTERSECTION,0.0,0.0,1
-104.80989841,39.7750466348,10,3,17,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-105.02510832700001,39.7197513583,6,6,19,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.98737889200001,39.754419498800004,10,5,1,DRY,DARK-LIGHTED,DUI/DWAI/DUID,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.82318187700001,39.7880786172,5,1,18,DRY,DAY LIGHT,DRIVER INEXPERIENCE,CARELESS DRIVING,DRIVEWAY ACCESS RELATED,0.0,1.0,1
-104.936694434,39.6784504966,7,1,11,DRY,DAY LIGHT,OTHER,DISREGARDED OTHER DEVICE,AT INTERSECTION,0.0,1.0,1
-104.985897115,39.7435610284,7,2,16,DRY,DAY LIGHT,DRIVER INEXPERIENCE,OTHER,NON INTERSECTION,0.0,0.0,1
-104.940686712,39.6607565931,3,1,16,DRY,DAY LIGHT,OTHER,FAILED TO STOP AT SIGNAL,AT INTERSECTION,1.0,0.0,1
-104.809849805,39.7803447101,4,2,19,SNOWY WITH VISIBLE ICY ROAD TREATMENT,DAWN OR DUSK,OTHER,EXCEED SAFE/POSTED SPEED,NON INTERSECTION,0.0,0.0,1
-105.04536525200001,39.700405732,2,1,8,ICY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-105.022071489,39.7511970661,7,4,21,DRY,DARK-LIGHTED,OTHER,CARELESS DRIVING,INTERSECTION RELATED,0.0,1.0,1
-105.04812302799999,39.700419105900004,4,2,16,DRY,DAY LIGHT,OTHER,CARELESS DRIVING,AT INTERSECTION,1.0,0.0,1
-104.988955384,39.7557632922,6,2,7,DRY,DAY LIGHT,OTHER,FAILED TO STOP AT SIGNAL,AT INTERSECTION,0.0,0.0,1
-104.749254964,39.781099496799996,8,1,18,DRY,DAY LIGHT,DRIVER INEXPERIENCE,FAILED TO YIELD ROW,INTERSECTION RELATED,0.0,0.0,1
-104.874775011,39.6704807201,6,2,8,DRY,DAY LIGHT,OTHER,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.012921173,39.755203305500004,9,2,11,DRY,DAY LIGHT,OTHER,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.025014535,39.7189026875,8,6,22,DRY,DARK-LIGHTED,DUI/DWAI/DUID,OTHER,INTERSECTION RELATED,0.0,1.0,1
-104.98726207799999,39.733914618600004,11,6,1,DRY,DARK-LIGHTED,OTHER,RECKLESS DRIVING,NON INTERSECTION,0.0,1.0,1
-104.969690045,39.7400245793,5,2,17,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,INTERSECTION RELATED,1.0,0.0,1
-104.98639129,39.789222028699996,11,0,10,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,1.0,1
-104.91127681100001,39.7128182313,11,2,14,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,PARKING LOT,0.0,1.0,1
-105.03895930799999,39.7477312971,1,4,19,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,RECKLESS DRIVING,INTERSECTION RELATED,0.0,0.0,1
-104.98955709100001,39.7801079336,9,6,1,DRY,DARK-LIGHTED,OTHER,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-105.03945740799999,39.7254966216,9,2,20,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,RECKLESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.949814696,39.7800442313,5,0,17,DRY,DAY LIGHT,DRIVER INEXPERIENCE,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-105.09115416600001,39.614406102,9,5,22,DRY,DARK-UNLIGHTED,DISTRACTED,OTHER,NON INTERSECTION,0.0,1.0,1
-104.98729961299999,39.7404540161,5,1,13,DRY,DAY LIGHT,OTHER,CARELESS DRIVING,DRIVEWAY ACCESS RELATED,0.0,1.0,1
-104.99502488899999,39.7510868715,12,5,18,DRY,DARK-LIGHTED,DISTRACTED,CARELESS DRIVING,AT INTERSECTION,0.0,2.0,1
-104.868408896,39.6535105238,8,5,2,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.70442309299999,39.8309006207,5,3,21,DRY,DARK-LIGHTED,DISTRACTED,RECKLESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.034442461,39.7022407835,6,5,1,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,1.0,1
-104.9873914,39.7400590975,7,0,11,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,AT INTERSECTION,0.0,1.0,1
-104.90062815799999,39.7830270294,11,5,20,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.999133019,39.7112046093,1,6,2,DRY,DARK-UNLIGHTED,OTHER,CARELESS DRIVING,NON INTERSECTION,0.0,1.0,1
-104.94051297600001,39.682114534899995,7,6,19,DRY,DAY LIGHT,DRIVER UNFAMILIAR WITH AREA,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.921014947,39.7069668981,8,0,15,DRY,DAY LIGHT,AGGRESSIVE DRIVING,IMPROPER TURN,DRIVEWAY ACCESS RELATED,0.0,0.0,1
-105.039057776,39.6894658518,6,6,12,DRY,DAY LIGHT,ILLNESS/MEDICAL,LANE VIOLATION,INTERSECTION RELATED,0.0,0.0,1
-105.032958029,39.7106107883,8,4,23,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.947289462,39.7320947059,6,6,15,DRY,DARK-LIGHTED,OTHER,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.025115551,39.7181591237,6,6,17,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.86075546200001,39.6597203579,3,0,19,DRY,DARK-LIGHTED,OTHER,UNKOWN_DRIVER_ACTION,DRIVEWAY ACCESS RELATED,1.0,0.0,1
-104.959394961,39.6875040972,1,0,19,ICY,DARK-LIGHTED,OTHER,FOLLOWED TOO CLOSELY,NON INTERSECTION,0.0,0.0,1
-104.92610495,39.725624210599996,9,1,14,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.99414322,39.7352621339,9,2,16,DRY,DAY LIGHT,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.869357671,39.7068440168,11,0,14,DRY,DAY LIGHT,DUI/DWAI/DUID,OTHER,NON INTERSECTION,0.0,0.0,1
-104.989102228,39.750254205,8,5,10,DRY,DAY LIGHT,OTHER,FAILED TO STOP AT SIGNAL,AT INTERSECTION,0.0,0.0,1
-104.993225757,39.7337977013,8,2,13,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.986123099,39.7384420931,9,6,18,DRY,DAY LIGHT,DUI/DWAI/DUID,FAILED TO STOP AT SIGNAL,AT INTERSECTION,0.0,0.0,1
-104.98725359299999,39.7020005913,4,6,20,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.868511718,39.758978161,9,0,19,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,CARELESS DRIVING,AT INTERSECTION,1.0,0.0,1
-104.998901983,39.7112036253,6,1,4,DRY,DARK-UNLIGHTED,OTHER,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.77197468899999,39.8333962771,12,2,6,DRY,DAY LIGHT,OTHER,FOLLOWED TOO CLOSELY,NON INTERSECTION,0.0,0.0,1
-104.987980306,39.6691340289,7,1,19,DRY,DAY LIGHT,OTHER,CARELESS DRIVING,DRIVEWAY ACCESS RELATED,1.0,0.0,1
-104.912891066,39.696620698400004,5,4,17,DRY,DAY LIGHT,ILLNESS/MEDICAL,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.972113221,39.7681633655,8,2,17,DRY,DAY LIGHT,AGGRESSIVE DRIVING,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.915346925,39.6530862793,10,6,0,DRY,DARK-LIGHTED,OTHER,FAILED TO YIELD ROW,INTERSECTION RELATED,0.0,1.0,1
-105.024934352,39.7622417938,8,3,8,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,INTERSECTION RELATED,0.0,0.0,1
-104.880219433,39.7475102393,8,5,17,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-105.013229294,39.725676534499996,3,1,13,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.940485871,39.6565415171,9,5,16,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.899907014,39.6523934919,8,2,19,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,LANE VIOLATION,NON INTERSECTION,0.0,0.0,1
-104.85270210200001,39.7819799364,10,3,14,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,DRIVEWAY ACCESS RELATED,0.0,0.0,1
-104.99550528700001,39.7045811731,3,4,20,DRY,DARK-LIGHTED,OTHER,LANE VIOLATION,NON INTERSECTION,0.0,0.0,1
-105.032474129,39.7181529109,8,2,16,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.999413442,39.713251046399996,9,6,0,DRY,DARK-LIGHTED,OTHER,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.91289850700001,39.689359344,5,3,18,DRY,DAY LIGHT,ILLNESS/MEDICAL,OTHER,AT INTERSECTION,0.0,0.0,1
-104.979768711,39.7398828905,11,6,22,MUDDY,DARK-LIGHTED,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.972422238,39.7129189492,11,1,17,DRY,DARK-UNLIGHTED,OTHER,OTHER,AT INTERSECTION,0.0,1.0,1
-104.993516835,39.733864841199996,7,1,18,DRY,DAY LIGHT,AGGRESSIVE DRIVING,DISREGARDED OTHER DEVICE,AT INTERSECTION,1.0,0.0,1
-104.886955717,39.7332123851,3,5,3,DRY,DARK-LIGHTED,DUI/DWAI/DUID,RECKLESS DRIVING,INTERSECTION RELATED,0.0,0.0,1
-104.865889005,39.775633296399995,10,5,3,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-104.991719324,39.7444318608,9,0,14,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,NON INTERSECTION,1.0,0.0,1
-104.94018982899999,39.7631732646,9,6,4,WET,DARK-LIGHTED,DUI/DWAI/DUID,RECKLESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.97529301799999,39.736862436799996,5,3,18,DRY,DAWN OR DUSK,OTHER,CARELESS DRIVING,AT INTERSECTION,0.0,1.0,1
-105.053251155,39.6647249152,7,5,17,DRY,DAY LIGHT,DISTRACTED,FOLLOWED TOO CLOSELY,NON INTERSECTION,0.0,0.0,1
-105.014161625,39.7404389599,3,2,4,SLUSHY,DARK-LIGHTED,OTHER,EXCEED SAFE/POSTED SPEED,NON INTERSECTION,0.0,0.0,1
-105.02752994299999,39.7022269433,6,5,18,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.915346925,39.6530862793,12,4,8,DRY,DAY LIGHT,ILLNESS/MEDICAL,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.004333733,39.760948943,12,4,19,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.987417274,39.72727447,2,5,15,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,INTERSECTION RELATED,0.0,1.0,1
-105.02516448,39.732989300700005,2,6,2,WET,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.975752381,39.7800637484,12,2,21,DRY,DARK-LIGHTED,DUI/DWAI/DUID,RECKLESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.80979844299999,39.7837540217,6,6,0,DRY,DARK-LIGHTED,DRIVER INEXPERIENCE,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.91879509399999,39.6784539676,5,2,15,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,DRIVEWAY ACCESS RELATED,0.0,1.0,1
-104.86632668899999,39.6646372791,9,0,9,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,INTERSECTION RELATED,0.0,1.0,1
-104.986123099,39.7384420931,2,6,16,SNOWY,DAY LIGHT,OTHER,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.98100390799999,39.739229480300004,5,5,12,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.940425485,39.7434524205,9,5,14,DRY,DAY LIGHT,AGGRESSIVE DRIVING,RECKLESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.98751269600001,39.715673306999996,3,4,16,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.941484836,39.7908321956,10,3,11,DRY,DAY LIGHT,AGGRESSIVE DRIVING,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-105.025742002,39.692273512199996,1,6,21,DRY,DARK-UNLIGHTED,DUI/DWAI/DUID,EXCEED SAFE/POSTED SPEED,PARKING LOT,0.0,0.0,1
-104.865743241,39.7756215302,7,3,23,DRY,DARK-LIGHTED,DISTRACTED,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-105.00434503700001,39.7477772809,10,4,22,DRY,DARK-UNLIGHTED,DRIVER INEXPERIENCE,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.956272095,39.7401884565,2,0,9,UNKOWN_ROAD,UNKOWN_LIGHT,OTHER,UNKOWN_DRIVER_ACTION,UNKOWN_ROAD_DESCR,0.0,0.0,1
-104.978682088,39.7320266006,12,3,17,DRY,DARK-LIGHTED,OTHER,UNKOWN_DRIVER_ACTION,AT INTERSECTION,0.0,1.0,1
-105.004333733,39.760948943,5,6,2,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.987413965,39.7384312518,11,2,13,DRY,DAY LIGHT,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.99329387,39.742580108,5,2,17,DRY,DAY LIGHT,OTHER,IMPROPER BACKING,NON INTERSECTION,0.0,1.0,1
-105.00060479999999,39.7591158295,8,5,23,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.989563048,39.7802671825,12,2,15,DRY,DAY LIGHT,DISTRACTED,TURNED FROM WRONG LANE OR POSITION,HIGHWAY INTERCHANGE,0.0,0.0,1
-104.97542839399999,39.7729603899,10,3,18,DRY,DAY LIGHT,DUI/DWAI/DUID,RECKLESS DRIVING,AT INTERSECTION,1.0,0.0,1
-104.903459385,39.742600987399996,5,2,18,DRY,DAY LIGHT,DISTRACTED,FOLLOWED TOO CLOSELY,NON INTERSECTION,0.0,0.0,1
-104.918259283,39.6530787687,2,5,5,DRY,DARK-LIGHTED,ASLEEP AT THE WHEEL,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.946730434,39.7367041495,8,5,21,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.809696358,39.7858096208,3,1,18,DRY,DARK-LIGHTED,DUI/DWAI/DUID,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.985963559,39.7306146223,3,4,13,DRY,DAY LIGHT,OTHER,OTHER,NON INTERSECTION,0.0,2.0,1
-104.960603244,39.7397307122,1,5,17,DRY,DARK-LIGHTED,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.80989841,39.7750466348,1,2,17,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.975285844,39.758258976,2,0,9,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.99648843700001,39.7384512146,10,5,12,DRY,DAY LIGHT,DRIVER UNFAMILIAR WITH AREA,CARELESS DRIVING,DRIVEWAY ACCESS RELATED,0.0,0.0,1
-105.013358365,39.7255205877,11,1,19,DRY,DARK-LIGHTED,OTHER,FOLLOWED TOO CLOSELY,NON INTERSECTION,0.0,0.0,1
-104.95939343799999,39.6766298404,3,2,22,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.88250447799999,39.7852640886,12,4,18,DRY,DARK-LIGHTED,DRIVER UNFAMILIAR WITH AREA,FAILED TO STOP AT SIGNAL,AT INTERSECTION,0.0,0.0,1
-104.99857645899999,39.757748309,5,2,18,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,1.0,0.0,1
-104.993518759,39.678448223800004,6,2,11,DRY,DAY LIGHT,AGGRESSIVE DRIVING,LANE VIOLATION,AT INTERSECTION,1.0,0.0,1
-104.9873914,39.7400590975,12,4,23,DRY,DARK-LIGHTED,OTHER,UNKOWN_DRIVER_ACTION,INTERSECTION RELATED,0.0,1.0,1
-104.86610890600001,39.667513245100004,1,2,21,DRY,DARK-LIGHTED,OTHER,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.006447456,39.7790187169,4,6,11,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
-104.97924500100001,39.7783277917,10,6,19,WET,DARK-LIGHTED,OTHER,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-105.053231356,39.6968642449,1,0,19,DRY,DARK-LIGHTED,ASLEEP AT THE WHEEL,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.78657266299999,39.796455153800004,9,0,17,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-104.959321511,39.7800663094,10,5,12,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-105.053244671,39.7835320433,10,0,14,DRY,DAY LIGHT,DISTRACTED,EXCEED SAFE/POSTED SPEED,HIGHWAY INTERCHANGE,0.0,0.0,1
-104.723079197,39.8336248408,9,1,18,DRY,DAWN OR DUSK,AGGRESSIVE DRIVING,FAILED TO YIELD ROW,NON INTERSECTION,0.0,0.0,1
-104.978740785,39.743266001500004,10,0,22,UNKOWN_ROAD,UNKOWN_LIGHT,OTHER,UNKOWN_DRIVER_ACTION,ALLEY RELATED,0.0,1.0,1
-105.02435167899999,39.6813937084,10,0,13,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,DRIVEWAY ACCESS RELATED,0.0,0.0,1
-104.69005052899999,39.8362849338,9,3,9,DRY,DAY LIGHT,ILLNESS/MEDICAL,CARELESS DRIVING,PARKING LOT,0.0,0.0,1
-104.681945016,39.850073119,11,3,12,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,NON INTERSECTION,0.0,0.0,1
-105.03359674,39.7252127325,12,5,19,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,CARELESS DRIVING,NON INTERSECTION,0.0,0.0,1
-105.01534831299999,39.7308079654,5,0,2,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.98741540799999,39.7338548907,8,4,7,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,NON INTERSECTION,1.0,0.0,1
-104.84703883600001,39.7742043002,3,2,6,DRY,DAY LIGHT,OTHER,FOLLOWED TOO CLOSELY,NON INTERSECTION,0.0,0.0,1
-104.825598885,39.7802273318,4,0,16,DRY,DAY LIGHT,DRIVER FATIGUE,LANE VIOLATION,AT INTERSECTION,0.0,0.0,1
-104.994951771,39.7656830387,4,6,2,DRY,DARK-LIGHTED,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.96846334,39.7400108087,6,4,12,DRY,DAY LIGHT,DISTRACTED,CARELESS DRIVING,AT INTERSECTION,0.0,1.0,1
-105.01589189,39.7293222654,5,4,18,DRY,DAY LIGHT,DUI/DWAI/DUID,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.986890659,39.7560096176,8,0,7,DRY,DAY LIGHT,AGGRESSIVE DRIVING,DISREGARD STOP SIGN,AT INTERSECTION,1.0,0.0,1
-104.84705406799999,39.786319187800004,1,1,14,DRY,DAY LIGHT,DISTRACTED,FAILED TO STOP AT SIGNAL,AT INTERSECTION,0.0,0.0,1
-104.94982448799999,39.7729039163,2,0,12,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,DRIVEWAY ACCESS RELATED,0.0,0.0,1
-104.994272383,39.7543340204,8,5,1,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,RECKLESS DRIVING,AT INTERSECTION,0.0,1.0,1
-105.003885459,39.711194552100004,8,5,14,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-104.90403129200001,39.729283753000004,7,4,11,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
