,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR
444,445,201919048.0,20191900000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/9/2019 13:00,,1/9/2019 13:00,4148 N MALTA ST,3213236.0,1707643.0,-104.74137759999999,39.77384264,5.0,523.0,Gateway - Green Valley Ranch,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,PARKED MV WITH OTHER VEHICLE,OTHER FIXED OBJECT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,ILLNESS/MEDICAL,  ,PICKUP TRUCK/UTILITY VAN,  ,PARKED,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL
657,658,201928432.0,20192800000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/13/2019 14:40,,1/13/2019 16:34,E 26TH AVE / N CLARKSON ST,3147061.0,1700176.0,-104.9769527,39.75462619,2.0,211.0,Five Points,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,FAILED TO YIELD ROW,  ,  ,MOTORCYCLE,EAST,GOING STRAIGHT,OTHER,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,  
665,666,201928806.0,20192900000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/13/2019 18:42,,1/13/2019 19:42,E 36TH AVE / N QUEBEC ST,3167695.0,1704978.0,-104.90345420000001,39.76745936,5.0,221.0,Northeast Park Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED PASSENGER,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DISTRACTED
708,709,201930557.0,20193100000000.0,5441,0,TRAF - ACCIDENT               ,1/14/2019 13:39,,11:00.0,I25 HWYSB / W 6TH AVE,3136882.0,1689517.0,-105.0133584,39.72552059,1.0,311.0,Baker,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,HIGHWAY BARRIER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED-OTHER,  ,VEHICLE OVER 10000 LBS,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
820,821,201936250.0,20193600000000.0,5441,0,TRAF - ACCIDENT               ,1/16/2019 18:12,,1/16/2019 18:12,N BROADWAY ST / WALNUT ST,3144103.0,1701504.0,-104.98744640000001,39.75831805,2.0,612.0,Five Points,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,SOUTHWEST,  ,  ,  ,CROSS AGAINST SIGNAL,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
847,848,201937835.0,20193800000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/17/2019 11:01,,1/17/2019 11:32,N SPEER BLVD / BLAKE ST,3139686.0,1697904.0,-105.0032268,39.7485028,6.0,123.0,Auraria,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTHWEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,SUV,SOUTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,NO APPARENT
986,987,201942540.0,20194300000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,1/19/2019 11:15,,1/19/2019 19:27,W COLFAX AVE / 7TH ST,3139137.0,1694860.0,-105.0052381,39.74015471,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,DUI/DWAI/DUID,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,1.0,SUV,  ,  ,  ,DUI/DWAI/DUID
1030,1031,201944630.0,20194500000000.0,5441,0,TRAF - ACCIDENT               ,1/20/2019 10:55,,1/20/2019 10:55,100 BLOCK W COLFAX AVE,3143750.0,1694958.0,-104.98883300000001,39.74035362,6.0,611.0,Civic Center,0.0,0.0,CURB,GUARD RAIL,GUARD RAIL,RAN OFF LEFT SIDE,NON INTERSECTION,CURVE ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,WEST,GOING STRAIGHT,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,DRIVER INEXPERIENCE
1067,1068,201946453.0,20194600000000.0,5441,0,TRAF - ACCIDENT               ,1/21/2019 8:30,,1/21/2019 10:11,I25 HWYNB / S LOGAN ST,3145530.0,1679331.0,-104.9828199,39.69742671,3.0,312.0,Washington Park West,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,NORTHWEST,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED-OTHER,  ,PICKUP TRUCK/UTILITY VAN,NORTHWEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,DISTRACTED
1192,1193,201951987.0,20195200000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/23/2019 15:50,,26:00.0,E 17TH AVE / N LINCOLN ST,3144508.0,1696028.0,-104.98611609999999,39.74327922,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,CARELESS DRIVING,OTHER,CROSS AGAINST SIGNAL,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,OTHER
1253,1254,201953650.0,20195400000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/24/2019 11:00,,1/24/2019 12:32,4300 BLOCK W COLFAX AVE,3128498.0,1694765.0,-105.04307069999999,39.74004689,1.0,122.0,West Colfax,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,ICY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,NO APPARENT,  ,VEHICLE OVER 10000 LBS,SOUTH,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,VEHICLE OVER 10000 LBS,  ,NO APPARENT
1338,1339,201955914.0,20195600000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/25/2019 10:20,,1/25/2019 13:34,N YORK ST / E MLK BLVD,3151881.0,1702887.0,-104.95975259999999,39.76199088,2.0,211.0,Whittier,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,OVERTURNING-NONCOLLISION,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,NO APPARENT,  ,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,NO APPARENT
1394,1395,201958434.0,20195800000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/26/2019 10:29,,1/26/2019 10:29,1010 E COLFAX AVE,3147748.0,1694750.0,-104.9746209,39.73972001,6.0,623.0,Capitol Hill,0.0,1.0,PEDESTRIAN-OTHER,FENCE,PEDESTRIAN-OTHER,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,  ,  ,  ,  ,  ,OTHER,1.0,0.0,  ,  ,PEDESTRIAN,  ,DRIVER INEXPERIENCE
1424,1425,201960153.0,20196000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/27/2019 2:51,,27:00.0,N NORTHFIELD QUEBEC ST / I70 HWYEB,3167637.0,1708927.0,-104.90356829999999,39.77830093,5.0,221.0,Northeast Park Hill,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,REAR TO SIDE WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,NO APPARENT,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
1425,1426,201960176.0,20196000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/27/2019 3:22,,09:00.0,E 11TH AVE / N BROADWAY LINCOLN ALY ST,3144344.0,1692593.0,-104.9867683,39.73385207,6.0,623.0,Capitol Hill,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,WEST,  ,  ,  ,CROSS AGAINST SIGNAL,SUV,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
1428,1429,201960599.0,20196100000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/27/2019 11:01,,1/27/2019 11:34,3200 BLOCK LARIMER ST,3146874.0,1703669.0,-104.9775463,39.76421798,2.0,211.0,Five Points,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,CHANGING LANES,CARELESS DRIVING,ILLNESS/MEDICAL,  ,PASSENGER CAR/VAN,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,3.0,0.0,  ,  ,SUV,PASSENGER CAR/VAN,ILLNESS/MEDICAL
1434,1435,201960849.0,20196100000000.0,5441,3,TRAF - ACCIDENT - POLICE      ,1/27/2019 13:50,,1/27/2019 14:35,E ILIFF AVE / S LOGAN ST,3145565.0,1671126.0,-104.9828615,39.67490153,3.0,313.0,Rosedale,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,CURB,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,OTHER,AGGRESSIVE DRIVING,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,AGGRESSIVE DRIVING
1569,1570,2018486341.0,201849000000000.0,5441,0,TRAF - ACCIDENT               ,7/14/2018 11:15,,7/18/2018 12:52,W 6TH AVE / N FEDERAL BLVD,3133569.0,1689526.0,-105.02513629999999,39.72559342,1.0,122.0,Villa Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,  ,DAY LIGHT,MOTORCYCLE,WEST,MAKING LEFT TURN,  ,NO APPARENT,  ,MOTORCYCLE,WEST,MAKING LEFT TURN,  ,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,NO APPARENT
1616,1617,201974464.0,20197400000000.0,5441,0,TRAF - ACCIDENT               ,2/2/2019 11:22,,2/2/2019 12:04,1000 N CHEROKEE ST,3143006.0,1692003.0,-104.99153740000001,39.73225306,6.0,611.0,Civic Center,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,OTHER,CARELESS DRIVING,ILLNESS/MEDICAL,  ,SUV,NORTH,PARKED,OTHER,  ,  ,1.0,0.0,  ,  ,SUV,  ,ILLNESS/MEDICAL
1639,1640,201975532.0,20197600000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,2/2/2019 21:25,,2/2/2019 21:25,W COLFAX AVE / N WOLFF ST,,,,,1.0,,,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,MOTORCYCLE,WEST,GOING STRAIGHT,  ,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,  ,NO APPARENT,  ,0.0,2.0,MOTORCYCLE,MOTORCYCLE,  ,  ,NO APPARENT
1668,1669,201991676.0,20199200000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/10/2019 2:38,,2/10/2019 2:38,I25 HWYSB / S UNIVERSITY BLVD,3152134.0,1674743.0,-104.9594483,39.68472607,3.0,313.0,University,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,HIGHWAY BARRIER,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,CHANGING LANES,RECKLESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
1699,1700,2018506329.0,201851000000000.0,5441,0,TRAF - ACCIDENT               ,7/26/2018 11:29,,7/26/2018 12:29,I25 HWYNB / I70 HWYWB,3143567.0,1709475.0,-104.98919340000002,39.78020793,1.0,112.0,Globeville,0.0,0.0,OVERTURNING-NONCOLLISION,  ,OVERTURNING-NONCOLLISION,ON ROADWAY,HIGHWAY INTERCHANGE,CURVE ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,ASLEEP AT THE WHEEL,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ASLEEP AT THE WHEEL
1739,1740,201976762.0,20197700000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2/3/2019 12:47,,2/3/2019 12:47,E 47TH AVE / N PARIS ST,3182996.0,1710518.0,-104.84888409999999,39.78237891,5.0,511.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING RIGHT TURN,RECKLESS DRIVING,DUI/DWAI/DUID,  ,SUV,NORTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,DUI/DWAI/DUID
1770,1771,201992812.0,20199300000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,56:00.0,,56:00.0,E 23RD AVE / N MONACO ST,3165092.0,1698994.0,-104.9128512,39.75107896,2.0,222.0,South Park Hill,0.0,0.0,LIGHT/UTILITY POLE,TREE,TREE,VEHICLE CROSSED CENTER MEDIAN INTO OPPOSING LANES,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,WEAVING,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
1788,1789,2018488565.0,201849000000000.0,5441,0,TRAF - ACCIDENT               ,7/19/2018 10:06,,7/19/2018 10:29,1700 N YORK ST,3151937.0,1696119.0,-104.9596966,39.74341071,2.0,213.0,City Park,0.0,1.0,PEDESTRIAN-OTHER,PEDESTRIAN-OTHER,PEDESTRIAN-OTHER,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-GRADE,DRY,DAY LIGHT,VEHICLE OVER 10000 LBS,SOUTH,BACKING,IMPROPER BACKING,OTHER,  ,  ,SOUTH,  ,  ,  ,OTHER,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER
