,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR,INJURY
118182,118183,2016707419.0,201671000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,11/4/2016 1:55,,11/4/2016 3:48,I25 HWYSB / S COLORADO BLVD,3157456.0,1674124.0,-104.94055259999999,39.68293832,3.0,314.0,Virginia Village,0.0,0.0,HIGHWAY BARRIER,  ,HIGHWAY BARRIER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID,1
82161,82162,2015488800.0,201549000000000.0,5441,0,TRAF - ACCIDENT               ,27:00.0,,26:00.0,PARK AVE / E 16TH AVE,3148870.0,1695456.0,-104.9706166,39.74164022,6.0,622.0,City Park West,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTH,GOING STRAIGHT,LANE VIOLATION,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,OTHER,1
139818,139819,2017748132.0,201775000000000.0,5441,0,TRAF - ACCIDENT               ,11/7/2017 15:47,,11/7/2017 16:37,S PARKER RD / S QUEBEC ST,3167834.0,1679871.0,-104.90354609999999,39.69853383,3.0,322.0,Washington Virginia Vale,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DAWN OR DUSK,PASSENGER CAR/VAN,EAST,CHANGING LANES,FOLLOWED TOO CLOSELY,PHYSICAL DISABILITY,  ,PASSENGER CAR/VAN,EAST,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,PHYSICAL DISABILITY,1
43050,43051,2013237740.0,201324000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,5/27/2013 14:52,,5/27/2013 15:31,2700 BLOCK S HAVANA ST,3178393.0,1667595.0,-104.8663267,39.66463728,3.0,323.0,Hampden,0.0,0.0,LIGHT/UTILITY POLE,  ,LIGHT/UTILITY POLE,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID,1
15954,15955,2019315157.0,201932000000000.0,5441,0,TRAF - ACCIDENT               ,5/20/2019 14:54,,5/20/2019 14:54,4929 N MOLINE ST,3181176.0,1711895.0,-104.8553248,39.78619455,5.0,511.0,Montbello,0.0,1.0,PEDESTRIAN-OTHER,  ,  ,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,WET,DAY LIGHT,VEHICLE OVER 10000 LBS,WEST,BACKING,OTHER,NO APPARENT,OTHER,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
56054,56055,2014434446.0,201443000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/18/2014 18:10,,8/18/2014 19:18,E VIRGINIA AVE / S GAYLORD ST,3151448.0,1683030.0,-104.96171129999999,39.70748688,3.0,312.0,Washington Park,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,WEST,MAKING LEFT TURN,OTHER,DRIVER INEXPERIENCE,OTHER,OTHER,WEST,PARKED,OTHER,OTHER,OTHER,1.0,0.0,  ,  ,MOTORCYCLE,  ,DRIVER INEXPERIENCE,1
118207,118208,2016723430.0,201672000000000.0,5441,0,TRAF - ACCIDENT               ,11/11/2016 9:20,,11/11/2016 9:36,E COLFAX AVE / N LOGAN ST,3145580.0,1694848.0,-104.98232800000001,39.7400232,6.0,623.0,Capitol Hill,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,OTHER,NORTH,OTHER,OTHER,NO APPARENT,CROSS AGAINST SIGNAL,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,OTHER,1
96197,96198,201663863.0,20166400000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/30/2016 15:29,,1/30/2016 16:22,N BRIGHTON BLVD / I70 HWYEB,3149758.0,1709392.0,-104.9671683,39.77988246,2.0,212.0,Elyria Swansea,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,MOTORCYCLE,SOUTH,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,AGGRESSIVE DRIVING,1
154486,154487,2018394799.0,201839000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,6/12/2018 15:29,,6/12/2018 16:05,3101 W ALASKA PL,3133252.0,1683400.0,-105.0263768,39.70878082,4.0,412.0,Westwood,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,EAST,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED-OTHER,  ,  ,  ,  ,  ,  ,LYING IN ROADWAY,1.0,0.0,  ,  ,PEDESTRIAN,  ,DISTRACTED,1
20844,20845,2018762622.0,201876000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,54:00.0,,11/8/2018 8:31,E 56TH AVE / N CENTRAL PARK BLVD,3172978.0,1716277.0,-104.88438899999998,39.798379700000005,5.0,511.0,Stapleton,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,REAR TO SIDE WITH MV IN TRANSPORT,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,OTHER,1
27990,27991,2013171485.0,201317000000000.0,5441,0,TRAF - ACCIDENT               ,4/17/2013 19:15,,4/18/2013 15:38,2300 BLOCK S FEDERAL BLVD,3133773.0,1671005.0,-105.0247555,39.67474617,4.0,422.0,College View - South Platte,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,ICY,DAWN OR DUSK,SUV,NORTH,SPUN OUT OF CONTROL,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER INEXPERIENCE,1
50971,50972,2014186381.0,201419000000000.0,5441,0,TRAF - ACCIDENT               ,4/13/2014 16:24,,4/13/2014 17:53,I70 HWYWB / N STEELE ST,3154636.0,1709505.0,-104.94981059999999,39.78011284,2.0,212.0,Elyria Swansea,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,SNOWY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
118230,118231,2016738448.0,201674000000000.0,5441,0,TRAF - ACCIDENT               ,11/18/2016 0:28,,11/18/2016 0:28,W 6TH AVE / N STUART ST,3128625.0,1689572.0,-105.0427121,39.72578934,1.0,122.0,Villa Park,0.0,0.0,PARKED MV WITH OTHER VEHICLE,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,WET,DARK-LIGHTED,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED-OTHER,  ,PASSENGER CAR/VAN,WEST,OTHER,  ,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED,1
65250,65251,2014678116.0,201468000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,53:00.0,,12/23/2014 10:21,28TH ST / WELTON ST,3147089.0,1700580.0,-104.97684479999998,39.75573479,2.0,211.0,Five Points,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTHEAST,GOING STRAIGHT,DISREGARD STOP SIGN,DRIVER INEXPERIENCE,  ,  ,SOUTHWEST,  ,  ,  ,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,PEDESTRIAN,  ,DRIVER INEXPERIENCE,1
20852,20853,2018831898.0,201883000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/9/2018 15:55,,12/9/2018 15:57,N LINCOLN ST / E SPEER BLVD,3144503.0,1689605.0,-104.986263,39.72564697,3.0,311.0,Speer,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,TREE,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTHWEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DISTRACTED-OTHER,  ,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED,1
37646,37647,2013510939.0,201351000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10/23/2013 11:25,,10/23/2013 11:30,1300 BLOCK LARIMER ST,3140539.0,1697206.0,-105.00020690000001,39.74657383,6.0,612.0,Union Station,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,  ,NORTHEAST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,NON-SCHOOL BUS,NORTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
4460,4461,2018574133.0,201857000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/22/2018 19:50,,8/22/2018 19:53,7800 BLOCK E HAMPDEN AVE,3168969.0,1663071.0,-104.89990700000001,39.65239349,3.0,324.0,Hampden South,0.0,0.0,OTHER-NONCOLLISION,FRONT TO REAR WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,CHANGING LANES,LANE VIOLATION,AGGRESSIVE DRIVING,  ,MOTORCYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,AGGRESSIVE DRIVING,1
132123,132124,2017376211.0,201738000000000.0,5441,0,TRAF - ACCIDENT               ,6/9/2017 11:07,,6/9/2017 12:21,I25 HWYNB / W COLFAX AVE,3136687.0,1694909.0,-105.01394909999999,39.74032553,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,CURVE ON-GRADE,DRY,DAY LIGHT,SUV,NORTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,NO APPARENT,  ,PICKUP TRUCK/UTILITY VAN,NORTH,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,OTHER,1
87774,87775,2015708931.0,201571000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/6/2015 1:55,,55:00.0,S HAZEL CT / W CENTER AVE,3132931.0,1682321.0,-105.02753770000001,39.70582331,4.0,412.0,Westwood,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,OVERTURNING-NONCOLLISION,OVERTURNING-NONCOLLISION,RAN OFF RIGHT SIDE,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,MAKING RIGHT TURN,RECKLESS DRIVING,EVADING LAW ENFORCEMENT OFFICER,  ,  ,  ,  ,  ,  ,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,EVADING LAW ENFORCEMENT OFFICER,1
20857,20858,2018848953.0,201885000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/17/2018 2:11,,12/17/2018 2:29,N CHAMBERS RD / E MAXWELL PL,3193967.0,1715120.0,-104.8097253,39.79478951,5.0,521.0,Montbello,0.0,0.0,TRAFFIC SIGNAL,  ,TRAFFIC SIGNAL,RAN OFF RIGHT SIDE,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,NORTHWEST,MAKING LEFT TURN,CARELESS DRIVING,  ,  ,  ,  ,  ,  ,  ,  ,2.0,0.0,  ,  ,SUV,SUV,OTHER,1
